year,Bhakra_season_bcm,Bhakra_max1d_bcm,Bhakra_max3d_bcm,Bhakra_max5d_bcm,Bhakra_max10d_bcm,Ghaggar Bhankarpur_season_bcm,Ghaggar Bhankarpur_max1d_bcm,Ghaggar Bhankarpur_max3d_bcm,Ghaggar Bhankarpur_max5d_bcm,Ghaggar Bhankarpur_max10d_bcm,Ghaggar Khanauri_season_bcm,Ghaggar Khanauri_max1d_bcm,Ghaggar Khanauri_max3d_bcm,Ghaggar Khanauri_max5d_bcm,Ghaggar Khanauri_max10d_bcm,Pong_season_bcm,Pong_max1d_bcm,Pong_max3d_bcm,Pong_max5d_bcm,Pong_max10d_bcm,Ranjit Sagar_season_bcm,Ranjit Sagar_max1d_bcm,Ranjit Sagar_max3d_bcm,Ranjit Sagar_max5d_bcm,Ranjit Sagar_max10d_bcm,Bhakra_frac_jul01,Bhakra_frac_aug01,Bhakra_frac_aug15,Bhakra_frac_max,Bhakra_days_above_95pct,Pong_frac_jul01,Pong_frac_aug01,Pong_frac_aug15,Pong_frac_max,Pong_days_above_95pct,Ranjit Sagar_frac_jul01,Ranjit Sagar_frac_aug01,Ranjit Sagar_frac_aug15,Ranjit Sagar_frac_max,Ranjit Sagar_days_above_95pct,Bhakra_hei_pp_max,Bhakra_release_pp_max,Pong_hei_pp_max,Pong_release_pp_max,Ranjit Sagar_hei_pp_max,Ranjit Sagar_release_pp_max,sutlej_beas_max5d_bcm,sutlej_beas_max3d_bcm
1961,11.658872368236688,0.4057254591773084,0.9458163271699598,1.2385696871258964,1.8733582762445922,1.9535166271332547,0.1684534237192142,0.2535798776444161,0.2893407667587191,0.4524534712016683,6.024525821871423,0.45193621124848316,0.6526847107516025,0.7722044691034154,1.2806687211801235,18.092621199220517,0.8932600112339005,1.7836688818004056,2.416157532871538,3.999105137551579,11.091704658953711,0.47003020468896395,1.1149872294532224,1.5746320634243385,2.757738982210609,,,,,,,,,,,,,,,,,,,,,,3.6547272199974348,2.7294852089703654
1962,26.950014801138668,2.3549127766516262,3.6157018089032684,4.2222840223987905,5.8172618102003035,1.6759161161764593,0.2095045037160177,0.2794258484388479,0.28426840349622773,0.4092431427163058,4.646824742563705,0.5067285734191281,0.7595823918266692,0.7752327794437878,1.091678572858863,14.849515589590755,1.102118091125879,2.0322591342185383,2.1611109320878894,2.692635932559601,5.987495982761089,0.58517013721389,1.0994634969266779,1.1524015400659986,1.3235544562455261,,,,,,,,,,,,,,,,,,,,,,6.38339495448668,5.647960943121807
1963,13.18736631407864,1.006553325590897,2.0962362028857235,2.237236788368341,2.4288439526325862,2.016995708847187,0.12734098318735884,0.2584171783578306,0.27413174892859093,0.46434468710518323,6.894909452244579,0.4893323423951893,0.8702850852948687,0.9644832841386677,1.6573977885792386,16.607480535351563,0.5606197283223732,1.5187541621126708,2.3030976047933196,3.1316658162836384,8.965947210784805,0.4783683593102332,0.99411950706983,1.4507348440066536,1.9818332792622617,,,,,,,,,,,,,,,,,,,,,,4.540334393161661,3.6149903649983943
1964,13.239458860441863,0.9288137272855285,1.866708573567851,2.0682414359851595,2.2043065228100502,2.9801878888126527,0.184723644815958,0.3143816504798216,0.3983823629363664,0.6100115609321592,9.227690933345436,0.6465863261868429,1.0028061817247778,1.2484456509706803,1.81310266862031,14.214881832345112,0.76205017049793,1.1680388364410548,1.4596203409111594,2.258947520791726,8.592145111817285,0.31649046739554537,0.7403863621635393,0.9054786236373635,1.2988062279545696,,,,,,,,,,,,,,,,,,,,,,3.527861776896319,3.034747410008906
1965,6.204994351179947,0.45945264887540316,1.0428188110415477,1.4207154292494344,1.7860522654111313,1.4904041379209838,0.16615973206526563,0.23963537027353995,0.30628909283273875,0.5173778365201912,4.155339209666874,0.5474619135284176,0.8133234394118762,0.905296005619003,1.5823936149118274,7.901180519916572,0.5150633208258895,0.969096294994489,1.4302917197789717,2.556997902767982,4.5806485096396,0.3352845546678448,0.6532943030214695,0.9312433190459698,1.5549986036695587,,,,,,,,,,,,,,,,,,,,,,2.851007149028406,2.011915106036037
1966,11.369442152464261,0.5721075205090904,1.2508675637540674,1.7584362858599958,2.5306913192448715,2.056880348374234,0.15908683784369274,0.3782744865643856,0.49121406341215773,0.7142153863025195,6.440871713175369,0.5512509244678305,1.1664842646613693,1.49322374237676,2.130433111313274,15.709042744095713,0.7328208574725501,1.6252741014241685,2.056002595874139,3.2228741367775866,8.09035087307153,0.5816338862256127,1.3053579013202095,1.4501055539017023,1.6267688598748418,,,,,,,,,,,,,,,,,,,,,,3.8144388817341346,2.8761416651782357
1967,12.91697754172093,0.6542075376139076,1.4732215975044638,2.1276602032638556,2.7279260780235672,2.326497681843431,0.14689748597581864,0.3196481529966698,0.3977544665934666,0.5009475551877689,6.992303857497268,0.5272728188516865,0.9562923395054275,1.1693174143030454,1.5564252709499795,18.363793934466933,0.7161085179175238,1.617332051492508,2.6388601731596766,3.6070370866085675,9.301464085842682,0.34703296807824324,0.7175412527218826,0.975636686510151,1.6152394898391036,,,,,,,,,,,,,,,,,,,,,,4.766520376423532,3.0905536489969716
1968,7.252378318689658,0.2664721425453968,0.6210823755739743,0.9737129259727609,1.6361472348003547,2.0531053306838167,0.10336794697540473,0.23992435525547406,0.4031297868416801,0.6688766114432985,6.3868245740518255,0.3307403610731864,0.7234351928727747,1.2119825010858765,1.970663474742089,9.2961409688475,0.4299077988534917,0.8140647185295511,1.0574146584604136,1.7861145562787182,5.882149281495238,0.26987085981076925,0.691793780978801,0.9235847269217665,1.3755699467060705,,,,,,,,,,,,,,,,,,,,,,2.0311275844331744,1.4351470941035254
1969,10.58091970846013,0.4900292121135033,1.2808032964027494,1.7842361432782712,2.752459088669117,1.8342294162713935,0.1074135974974079,0.2396910395563278,0.3436583054756708,0.5013781192096969,5.5723191321620105,0.41886613079311297,0.9174777449200402,1.1092777137371603,1.5713324413872893,13.052424527823408,0.7249313735507305,1.6135787937515325,2.471671876076293,3.7549716421514754,6.704584375409323,0.4186342587512401,0.8142900457685047,1.1646802203956508,1.8492718316250067,,,,,,,,,,,,,,,,,,,,,,4.255908019354564,2.8943820901542816
1970,11.243433054654254,0.5873338159242174,1.3099556930820533,1.4913905768589026,1.631623866963119,2.111105717027012,0.14846828474335094,0.24892300718591448,0.25501875297431736,0.3374518903679246,5.9914740723449365,0.38648375659898654,0.7371896814468502,0.7668375904862014,0.9723497890000312,16.015015333019235,0.4793093862369577,1.1923004612525676,1.9713465449905385,2.827252968936863,8.273612268538415,0.3665881273919766,0.6791989745092885,1.0769684122090817,1.4444336038705683,,,,,,,,,,,,,,,,,,,,,,3.4627371218494414,2.5022561543346207
