catchment,model,lead_days,n_days,obs_mean_mm,fc_mean_mm,bias_pct,pearson_r,mae_mm,heavy_days_obs,hit_rate,false_alarm_ratio
Bhakra,ecmwf_ifs025,0,339,4.370090000552037,3.681222849199083,-15.763225729125374,0.702634762818945,1.9178779535692576,0,,1.0
Bhakra,ecmwf_ifs025,1,339,4.370090000552037,3.678852429549182,-15.817467624592094,0.6446549208271668,2.096984327338808,0,,
Bhakra,ecmwf_ifs025,2,339,4.370090000552037,3.859973376158429,-11.672908894992304,0.6574787497237656,2.1987290419672116,0,,1.0
Bhakra,ecmwf_ifs025,3,339,4.370090000552037,3.884735201061475,-11.106288415782078,0.5636446767411069,2.4070075932698947,0,,
Bhakra,ecmwf_ifs025,4,339,4.370090000552037,3.9330736529908923,-10.0001681316847,0.5195501735411193,2.595334577198963,0,,1.0
Bhakra,ecmwf_ifs025,5,339,4.370090000552037,4.010516768667645,-8.228050951787491,0.49705977103196236,2.6242950835896486,0,,
Bhakra,ecmwf_ifs025,6,339,4.370090000552037,4.021381679954655,-7.979431099893421,0.5203826657274327,2.660447445109714,0,,
Bhakra,ecmwf_ifs025,7,339,4.370090000552037,4.4103422386118325,0.9210848759341541,0.5098631786471436,2.7661368842822327,0,,1.0
Bhakra,gfs_seamless,0,339,4.370090000552037,4.492605126307468,2.8034920502771015,0.6638561289802988,2.4362198479352797,0,,1.0
Bhakra,gfs_seamless,1,339,4.370090000552037,4.117217039142871,-5.786447450217782,0.6088071422306767,2.4851220262244644,0,,1.0
Bhakra,gfs_seamless,2,339,4.370090000552037,4.192835271469345,-4.056088754700715,0.47506924827802255,2.8350345785043958,0,,
Bhakra,gfs_seamless,3,339,4.370090000552037,4.489904245993761,2.7416882816278054,0.4338630797499658,3.0642507369191496,0,,
Bhakra,gfs_seamless,4,339,4.370090000552037,4.945798613302168,13.173838815159566,0.49953698692228565,2.9999786948732132,0,,1.0
Bhakra,gfs_seamless,5,339,4.370090000552037,2.583961335313819,-40.87166774626132,0.30953665693132526,3.139065843955458,0,,
Bhakra,gfs_seamless,6,339,4.370090000552037,2.1224896566293663,-51.431442913961725,0.22181523331325897,3.4289645332012175,0,,
Bhakra,gfs_seamless,7,339,4.370090000552037,2.097380184923069,-52.00601853375733,0.19283576421760237,3.376308672828655,0,,
Ghaggar Bhankarpur,ecmwf_ifs025,0,339,6.070907985943926,4.94438436350576,-18.55609778712549,0.5146811415134893,4.427922099072942,12,0.25,0.25
Ghaggar Bhankarpur,ecmwf_ifs025,1,339,6.070907985943926,6.119808987211023,0.805497322316838,0.5887281810929832,5.1594804072152,12,0.4166666666666667,0.16666666666666666
Ghaggar Bhankarpur,ecmwf_ifs025,2,339,6.070907985943926,6.617224281685733,8.998922352417502,0.5296199468943579,5.648318801750308,12,0.3333333333333333,0.3333333333333333
Ghaggar Bhankarpur,ecmwf_ifs025,3,339,6.070907985943926,7.013512928582429,15.526589182720812,0.42974161463315175,6.025012194139724,12,0.3333333333333333,0.5555555555555556
Ghaggar Bhankarpur,ecmwf_ifs025,4,339,6.070907985943926,7.445586870361455,22.64371141187359,0.3415770173303734,6.432760650608449,12,0.16666666666666666,0.8181818181818182
Ghaggar Bhankarpur,ecmwf_ifs025,5,339,6.070907985943926,7.413517823885244,22.115470059007407,0.3070603622422599,6.697308381413851,12,0.16666666666666666,0.8181818181818182
Ghaggar Bhankarpur,ecmwf_ifs025,6,339,6.070907985943926,7.835143730390452,29.06049224483867,0.4137510396759638,6.684561579044902,12,0.16666666666666666,0.7777777777777778
Ghaggar Bhankarpur,ecmwf_ifs025,7,339,6.070907985943926,8.106811447112188,33.53540303826089,0.3157637663017208,7.21089970892573,12,0.08333333333333333,0.9166666666666666
Ghaggar Bhankarpur,gfs_seamless,0,339,6.070907985943926,5.192484537906307,-14.469391565008838,0.4883519953081342,5.212358920266149,12,0.3333333333333333,0.3333333333333333
Ghaggar Bhankarpur,gfs_seamless,1,339,6.070907985943926,5.550223239109343,-8.576719463383943,0.4704340935971184,5.321716276734569,12,0.16666666666666666,0.7142857142857143
Ghaggar Bhankarpur,gfs_seamless,2,339,6.070907985943926,6.571984825015797,8.253737994909864,0.3147019432454123,6.3055500298403295,12,0.16666666666666666,0.75
Ghaggar Bhankarpur,gfs_seamless,3,339,6.070907985943926,8.081893963170737,33.124962227773516,0.23707848760325206,7.834008761389234,12,0.16666666666666666,0.8666666666666667
Ghaggar Bhankarpur,gfs_seamless,4,339,6.070907985943926,8.078589624848007,33.07053316493184,0.2039252379442736,8.019170916342054,12,0.08333333333333333,0.9473684210526315
Ghaggar Bhankarpur,gfs_seamless,5,339,6.070907985943926,4.158920873402218,-31.49425286906939,0.1837641818524851,5.65081947966799,12,0.0,1.0
Ghaggar Bhankarpur,gfs_seamless,6,339,6.070907985943926,3.2738643078721648,-46.07290514940768,0.19433455448234535,5.461331735690029,12,0.0,1.0
Ghaggar Bhankarpur,gfs_seamless,7,339,6.070907985943926,3.203643967296282,-47.229574641656036,0.10088851136100284,5.813416231416343,12,0.0,1.0
Ghaggar Khanauri,ecmwf_ifs025,0,339,5.808811326540148,4.937329074901757,-15.002763950287653,0.5627329822145124,3.8557416273847243,11,0.2727272727272727,0.25
Ghaggar Khanauri,ecmwf_ifs025,1,339,5.808811326540148,6.012361380055095,3.5041601813599583,0.6154933065204621,4.768826648498188,11,0.36363636363636365,0.3333333333333333
Ghaggar Khanauri,ecmwf_ifs025,2,339,5.808811326540148,6.458584631221645,11.185994313719869,0.5471628137033542,5.075105914011093,11,0.36363636363636365,0.42857142857142855
Ghaggar Khanauri,ecmwf_ifs025,3,339,5.808811326540148,6.96402433708805,19.887253098922244,0.44612278201894073,5.583621500470568,11,0.2727272727272727,0.6666666666666666
Ghaggar Khanauri,ecmwf_ifs025,4,339,5.808811326540148,7.122850925333414,22.621488716452006,0.378235333228047,5.758249146703006,11,0.18181818181818182,0.8461538461538461
Ghaggar Khanauri,ecmwf_ifs025,5,339,5.808811326540148,7.251899376399173,24.843086971436527,0.3150976384398737,6.130194148596175,11,0.0,1.0
Ghaggar Khanauri,ecmwf_ifs025,6,339,5.808811326540148,7.73275644079049,33.12115002702772,0.4496349365828867,6.114314224296411,11,0.18181818181818182,0.7777777777777778
Ghaggar Khanauri,ecmwf_ifs025,7,339,5.808811326540148,7.800056579430049,34.27973712611405,0.3577348178825303,6.490245636338459,11,0.09090909090909091,0.9
Ghaggar Khanauri,gfs_seamless,0,339,5.808811326540148,4.789165822285691,-17.553427834637212,0.4749583253157079,4.745189006912389,11,0.18181818181818182,0.6
Ghaggar Khanauri,gfs_seamless,1,339,5.808811326540148,5.203942001805666,-10.412962148914465,0.43800050137787666,4.87194954168356,11,0.18181818181818182,0.6666666666666666
Ghaggar Khanauri,gfs_seamless,2,339,5.808811326540148,6.091918945574707,4.873761654833845,0.3602654935664071,5.542295951574791,11,0.18181818181818182,0.75
Ghaggar Khanauri,gfs_seamless,3,339,5.808811326540148,7.434194658546971,27.98134145931946,0.26164954855310735,7.023254254751429,11,0.18181818181818182,0.8571428571428571
Ghaggar Khanauri,gfs_seamless,4,339,5.808811326540148,7.7560032660619305,33.52134937874753,0.213660220117887,7.484366635692663,11,0.09090909090909091,0.9411764705882353
Ghaggar Khanauri,gfs_seamless,5,339,5.808811326540148,3.8817006373964458,-33.175646114357974,0.2328716469255211,5.05317039422364,11,0.09090909090909091,0.6666666666666666
Ghaggar Khanauri,gfs_seamless,6,339,5.808811326540148,3.0215733444490076,-47.98293188412575,0.21243230668058402,5.041022598974304,11,0.0,1.0
Ghaggar Khanauri,gfs_seamless,7,339,5.808811326540148,2.9552711888519663,-49.124338479552776,0.14047801431178694,5.3068004163656175,11,0.0,
Pong,ecmwf_ifs025,0,339,8.88426025720791,7.442167281808423,-16.231998316680315,0.6123148791496413,4.672984786049872,17,0.29411764705882354,0.5833333333333334
Pong,ecmwf_ifs025,1,339,8.88426025720791,6.952228221135533,-21.746684362436312,0.6100767361193694,4.935676020794671,17,0.23529411764705882,0.5555555555555556
Pong,ecmwf_ifs025,2,339,8.88426025720791,7.949020701476535,-10.526926594396011,0.5975091572487988,5.2592049448377365,17,0.29411764705882354,0.5833333333333334
Pong,ecmwf_ifs025,3,339,8.88426025720791,7.900852994022045,-11.069095622092053,0.49125003416877916,5.812278551667149,17,0.11764705882352941,0.7777777777777778
