date,Sutlej local (Pong),Beas local (Pong),Harike local (Pong),Sutlej local (Ranjit Sagar),Beas local (Ranjit Sagar),Harike local (Ranjit Sagar)
1961-01-01,1880.7997511104961,142.52997834621075,892.7039713963694,2161.078629343726,163.76995480935923,1025.7357136377177
1961-01-02,3661.9931967291136,578.098149015873,1718.2609468648495,1655.6298326359233,505.628452681381,947.6745600220669
1961-01-03,1794.8156375500616,707.6458879778222,1227.7516945944312,1266.5216881075019,351.5804084290849,777.8444880046735
1961-01-04,1502.317932822557,311.18718208220815,849.8077257241463,618.1473371621798,135.96984738713147,338.41948034054195
1961-01-05,258.8786967928955,129.73957330689484,205.32535011862996,140.9846665725928,60.68153217949253,103.59319315757338
1961-01-06,134.80521323738017,29.97740697122243,87.90558078792715,59.51491691835882,12.704403508229358,37.20680133892871
1961-01-07,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-08,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-09,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-10,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-11,3.75966098672605,12.699772712477529,113.37555340557407,4.319929863449709,14.592307017402085,130.27090492230184
1961-01-12,5.088340903678751,17.213513050594347,154.34075710169705,1.685142633515093,5.702730371650656,51.18455958931277
1961-01-13,0.9548667244777248,3.230249532120049,28.9632428284357,0.5634374519858273,1.9067417831941391,17.113861617673464
1961-01-14,0.8987124916699927,3.040283561368527,27.259959386922493,0.3728932912826478,1.2619168581276563,11.326269069757473
1961-01-15,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-16,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-17,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-18,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-19,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-20,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-21,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-22,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-23,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-24,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-25,7.0642972865557,1.9837775711818453,7.601849032416476,8.117026753269435,2.2794023191045296,8.734685060306228
1961-01-26,9.565282117686463,133.03512685702972,10.287347731389302,3.1681512655447994,150.67598188433138,3.4068547887447345
1961-01-27,3.97556094713022,271.8125927290166,1.9305007698547134,3.5653894792135348,165.63782729091963,1.139102140838961
1961-01-28,223.39049612229942,390.2633442435337,760.1922479468943,253.10421245412937,329.106298401544,872.2314112778872
1961-01-29,1882.1302522074748,3365.3763666281734,6910.31604462875,1926.9037331726008,3621.0549861146146,7134.466704502238
1961-01-30,10133.1536806063,12065.79323454748,26701.50875919382,9942.310899694996,9855.912086922255,23502.803054842258
1961-01-31,20212.8695187621,15338.950744420286,38590.66113029893,9898.971391618023,7664.4062222669145,17686.66109318557
1961-02-01,20163.056582077133,9972.83943664646,25793.276929417152,20243.777298728957,8124.425899363342,23482.003709782326
1961-02-02,41741.462236017556,11758.713552778696,38967.70888798033,29620.55490108463,7670.748518239715,25929.10952777528
1961-02-03,31907.554962825176,8396.003922800934,22508.54105506283,17562.92858970325,5838.266768657278,11077.46659330178
1961-02-04,13736.429843166074,6259.618388312483,7732.412919031758,7059.141440666236,4229.227256511839,4039.4055948634254
1961-02-05,4358.988940985393,3988.3423784144375,2266.138074539773,2804.248616229541,2794.4224972778384,1248.7253729709964
1961-02-06,6332.860375815125,3498.9431188169037,3247.329731422885,6958.992917246945,2362.641712466139,3667.2101157320735
1961-02-07,10235.730236724376,4586.526081537064,6849.666852024381,8362.275957363521,4213.902105782432,5586.832852767763
1961-02-08,6711.2629510729375,4515.128703129059,5132.516739723838,2767.0304218964425,1847.3804530094285,1960.4045347666208
1961-02-09,1802.5825571570933,1033.737031678497,1368.9468801156897,996.904806337639,580.5080727357662,744.6080023141931
1961-02-10,945.43485971255,610.4142935079866,787.335442014615,431.68153068845896,277.449735482813,343.2290558861868
1961-02-11,156.93822596240776,423.83540570682277,33.453941671367964,183.3949403697557,500.42263852380614,36.09709009823624
1961-02-12,389.7814365653456,818.0743624226764,77.7510992420941,335.6912075707326,539.6289987860381,62.49633999552424
1961-02-13,283.6468422792222,588.6727749212752,65.1786907179743,118.90089105335431,370.2327639797618,30.477447683594917
1961-02-14,125.97695219362988,403.41054827426564,35.682563641082226,80.42384858689475,174.01521861216946,21.791032425207366
1961-02-15,91.24051107996092,128.0658674813531,22.864356858214958,37.71848382848432,60.718318590254015,8.918149860020039
1961-02-16,84.12863369582087,59.32060135797502,43.60532626347155,86.45271245994566,34.53823170712464,47.346234841130205
1961-02-17,119.59136711052263,126.29326774048151,59.351906809084625,57.66916839803189,132.03595250988127,23.2339328332551
1961-02-18,52.768277386000726,155.34955977105903,55.37438800656115,28.70375765225422,60.70885399780265,53.54145076874485
1961-02-19,34.39811736549207,54.013281946480646,64.41977451372381,16.115925538555025,35.27966601023365,22.416332902442925
1961-02-20,10.1781071791513,43.94938072993724,11.111961444086118,4.319860807500078,17.322456909766256,6.390292572389369
1961-02-21,2.5738544090963624,5.434540240998694,9.530121928096527,1.1810119612304988,2.8240862611788446,3.9580908708590847
1961-02-22,0.5833674483460594,2.981813860224746,0.0,0.24226225569904045,1.2426533625107365,0.0
1961-02-23,1.8585986600603057,18.80187773759947,117.27450912783988,2.136312449232677,21.62118837299574,134.8220964044139
1961-02-24,2.5119264192132746,25.47123740608671,159.32489534482258,0.8319074102241918,8.444227068133483,52.83999364297197
1961-02-25,0.47122173408573853,4.770626384347905,29.89855511364769,0.27803584293662764,2.816627239067966,17.667365829467506
1961-02-26,0.4435099139106381,4.490073237235245,28.140267405606657,0.1840092457499476,1.8640958242847336,11.692588359586791
1961-02-27,0.0,0.0,0.0,0.0,0.0,0.0
1961-02-28,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-02,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-03,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-04,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-05,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-06,13.63994279844097,0.0,0.0,15.672582298980682,0.0,0.0
1961-03-07,18.48594444713156,0.0,0.0,6.124130773466764,0.0,0.0
1961-03-08,3.4690311748467937,0.0,0.0,2.04763951134063,0.0,0.0
1961-03-09,3.26502282560185,0.0,0.0,1.3551655717117763,0.0,0.0
1961-03-10,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-11,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-12,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-13,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-14,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-15,3.085808635382118,0.0,0.20813602508470203,3.5456592825638027,0.0,0.2391526878613851
1961-03-16,4.17595149042898,0.0,0.2815468840742964,1.3829490710391428,0.0,0.09323052191291127
1961-03-17,0.7836497586788929,0.0,0.05283446138378196,0.46239723885395523,0.0,0.031172178941521682
1961-03-18,22.375804264522106,0.0,53.752644226769476,25.171368375218595,0.0,61.726587136241356
1961-03-19,214.1845528241757,587.1913447382187,322.85752351343694,222.27250879940837,674.695254345989,311.599776213774
1961-03-20,322.7001384715065,888.8883186573398,361.2783841264344,158.94619871984486,317.41413940987394,127.42158015113957
1961-03-21,136.4410491387254,191.23094012520824,83.52809511368628,58.67571300919387,107.81888439065482,45.59580376922236
1961-03-22,61.13855756661123,159.01397616252524,61.724293198366496,28.31701545024285,68.2759846064721,25.91235676860129
1961-03-23,14.58720030519856,786.0962376456392,1.0798326387715533,6.10313082568062,918.3506616297792,0.44979322428061075
1961-03-24,49.24562475138653,1366.8797307362129,152.18170948622162,57.0266568655664,642.4069665722681,175.44338932197206
1961-03-25,67.18195559828752,580.8054474241881,213.53870785308666,23.803551853484837,351.7570101020805,78.0810293184311
1961-03-26,674.543072575361,578.1844146858199,571.8566068347853,767.5315236351864,373.01943617855653,627.1502765752454
1961-03-27,987.2713334912402,315.37147277249954,765.283881727364,335.0957163242795,120.4975522064855,259.3573506535807
1961-03-28,183.296222564489,73.52605220217139,138.364350666798,110.36768707848256,39.70140821960602,81.96020218530772
1961-03-29,172.07794700521114,37.97247946143665,128.1869996268663,72.9125983855906,15.985907394864443,53.642385509726864
1961-03-30,0.0,0.0,0.0,0.0,0.0,0.0
1961-03-31,0.0,0.0,0.0,0.0,0.0,0.0
1961-04-01,4.386987080670004,0.0,2.0650562962133003,5.040740792125926,0.0,2.372793290462364
1961-04-02,15.024738567915975,59.70603010181946,6.752190791780003,12.409039171762773,68.60348935063996,5.473629251054064
1961-04-03,41.39703443305244,176.92095820602268,98.68883089167961,36.89284367014326,136.90809410665764,108.73071539974092
1961-04-04,131.33745848703418,241.08881551731267,393.84189126614,117.93066643941867,162.14467958989115,348.8457672550263
1961-04-05,132.65708730414048,461.10389964993465,445.1892164493872,46.17743198590945,402.39492714877514,199.52831699995923
1961-04-06,29.918337565871443,461.1549163007914,165.86937615091665,16.532345126420278,164.28328277537122,75.03026570399317
