catchment,record,n_days,obs_mean_mm,fc_mean_mm,bias_pct,pearson_r,mae_mm,heavy_days_obs,hit_rate,false_alarm_ratio
Bhakra,imd_rt,121,5.521137937743566,5.997574076462901,8.629310553216316,0.984767757649761,0.6219219583321521,0,,
Bhakra,era5,122,5.526289376689488,4.28550650024459,-22.452368883878222,0.71930852660655,2.6721600350357706,0,,1.0
Pong,imd_rt,121,12.125971078154702,12.860426261632806,6.056877249206435,0.9951398199951988,0.9447364226804769,14,0.9285714285714286,0.07142857142857142
Pong,era5,122,12.093757487952855,8.826977766307483,-27.01211534049332,0.5972801212601994,7.074804607906036,14,0.2857142857142857,0.5
Ranjit Sagar,imd_rt,121,10.151209777460041,11.303791692837782,11.35413355299738,0.9915707278801537,1.5287605783788347,11,1.0,0.21428571428571427
Ranjit Sagar,era5,122,10.138921605070522,8.951955021915374,-11.707029893214086,0.7637267868772258,5.737082950006562,11,0.36363636363636365,0.42857142857142855
