dam,year,peak_inflow_cusecs,peak_date,source_short,source,quote
Pong,2025,349522,,"Rajya Sabha reply via PTI, 2 Dec 2025","Written reply of the Minister of State for Jal Shakti in the Rajya Sabha, reported by PTI in The Tribune, 2 December 2025, https://www.tribuneindia.com/news/punjab/recent-floods-in-punjab-not-aggravated-due-to-poor-reservoir-management-centre; the reply does not date the peak","the inflows at Pong and Bhakra in 2025 touched 3,49,522 cusecs and 1,90,603 cusecs respectively"
Bhakra,2025,190603,,"Rajya Sabha reply via PTI, 2 Dec 2025","as above","as above"
