date,district,flooded_ha,fraction
2015-06-22,Barnala,0.0,0.0
2015-06-22,Bathinda,0.0,0.0
2015-06-22,Faridkot,0.0,0.0
2015-06-22,Fatehgarh Sahib,0.0,0.0
2015-06-22,Firozpur,0.0,0.0
2015-06-22,Gurdaspur,0.0,0.0
2015-06-22,Hoshiarpur,0.0,0.0
2015-06-22,Jalandhar,0.0,0.0
2015-06-22,Kapurthala,0.0,0.0
2015-06-22,Ludhiana,0.0,0.0
2015-06-22,Mansa,0.0,0.0
2015-06-22,Moga,0.0,0.0
2015-06-22,Muktsar,0.0,0.0
2015-06-22,Nawanshahr,0.0,0.0
2015-06-22,Patiala,0.0,0.0
2015-06-22,Rupnagar,0.0,0.0
2015-06-22,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-22,Sangrur,0.0,0.0
2015-06-22,Tarn Taran,0.0,0.0
2015-06-23,Amritsar,0.0,0.0
2015-06-23,Barnala,0.0,0.0
2015-06-23,Bathinda,0.0,0.0
2015-06-23,Faridkot,0.0,0.0
2015-06-23,Fatehgarh Sahib,0.0,0.0
2015-06-23,Firozpur,0.0,0.0
2015-06-23,Gurdaspur,0.0,0.0
2015-06-23,Hoshiarpur,0.0,0.0
2015-06-23,Jalandhar,0.0,0.0
2015-06-23,Kapurthala,0.0,0.0
2015-06-23,Ludhiana,0.0,0.0
2015-06-23,Mansa,0.0,0.0
2015-06-23,Moga,0.0,0.0
2015-06-23,Muktsar,0.0,0.0
2015-06-23,Nawanshahr,0.0,0.0
2015-06-23,Patiala,0.0,0.0
2015-06-23,Rupnagar,0.0,0.0
2015-06-23,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-23,Sangrur,0.0,0.0
2015-06-23,Tarn Taran,0.0,0.0
2015-06-24,Amritsar,0.0,0.0
2015-06-24,Barnala,0.0,0.0
2015-06-24,Bathinda,0.0,0.0
2015-06-24,Faridkot,0.0,0.0
2015-06-24,Fatehgarh Sahib,0.0,0.0
2015-06-24,Firozpur,0.0,0.0
2015-06-24,Gurdaspur,0.0,0.0
2015-06-24,Hoshiarpur,0.0,0.0
2015-06-24,Jalandhar,0.0,0.0
2015-06-24,Kapurthala,0.0,0.0
2015-06-24,Ludhiana,0.0,0.0
2015-06-24,Mansa,0.0,0.0
2015-06-24,Moga,0.0,0.0
2015-06-24,Muktsar,0.0,0.0
2015-06-24,Nawanshahr,0.0,0.0
2015-06-24,Patiala,0.0,0.0
2015-06-24,Rupnagar,0.0,0.0
2015-06-24,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-24,Sangrur,0.0,0.0
2015-06-24,Tarn Taran,0.0,0.0
2015-06-25,Amritsar,0.0,0.0
2015-06-25,Barnala,0.0,0.0
2015-06-25,Bathinda,0.0,0.0
2015-06-25,Faridkot,0.0,0.0
2015-06-25,Fatehgarh Sahib,0.0,0.0
2015-06-25,Firozpur,0.0,0.0
2015-06-25,Gurdaspur,0.0,0.0
2015-06-25,Hoshiarpur,0.0,0.0
2015-06-25,Jalandhar,0.0,0.0
2015-06-25,Kapurthala,0.0,0.0
2015-06-25,Ludhiana,0.0,0.0
2015-06-25,Mansa,0.0,0.0
2015-06-25,Moga,0.0,0.0
2015-06-25,Muktsar,0.0,0.0
2015-06-25,Nawanshahr,0.0,0.0
2015-06-25,Patiala,0.0,0.0
2015-06-25,Rupnagar,0.0,0.0
2015-06-25,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-25,Sangrur,0.0,0.0
2015-06-25,Tarn Taran,0.0,0.0
2015-06-26,Amritsar,0.0,0.0
2015-06-26,Barnala,0.0,0.0
2015-06-26,Bathinda,0.0,0.0
2015-06-26,Faridkot,0.0,0.0
2015-06-26,Fatehgarh Sahib,0.0,0.0
2015-06-26,Firozpur,0.0,0.0
2015-06-26,Gurdaspur,0.0,0.0
2015-06-26,Hoshiarpur,0.0,0.0
2015-06-26,Jalandhar,0.0,0.0
2015-06-26,Kapurthala,0.0,0.0
2015-06-26,Ludhiana,0.0,0.0
2015-06-26,Mansa,0.0,0.0
2015-06-26,Moga,0.0,0.0
2015-06-26,Muktsar,0.0,0.0
2015-06-26,Nawanshahr,0.0,0.0
2015-06-26,Patiala,0.0,0.0
2015-06-26,Rupnagar,0.0,0.0
2015-06-26,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-26,Sangrur,0.0,0.0
2015-06-26,Tarn Taran,0.0,0.0
2015-06-27,Amritsar,0.0,0.0
2015-06-27,Barnala,0.0,0.0
2015-06-27,Bathinda,0.0,0.0
2015-06-27,Faridkot,0.0,0.0
2015-06-27,Fatehgarh Sahib,0.0,0.0
2015-06-27,Firozpur,0.0,0.0
2015-06-27,Gurdaspur,0.0,0.0
2015-06-27,Hoshiarpur,0.0,0.0
2015-06-27,Jalandhar,0.0,0.0
2015-06-27,Kapurthala,0.0,0.0
2015-06-27,Ludhiana,0.0,0.0
2015-06-27,Mansa,0.0,0.0
2015-06-27,Moga,0.0,0.0
2015-06-27,Muktsar,0.0,0.0
2015-06-27,Nawanshahr,0.0,0.0
2015-06-27,Patiala,0.0,0.0
2015-06-27,Rupnagar,0.0,0.0
2015-06-27,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-27,Sangrur,0.0,0.0
2015-06-27,Tarn Taran,0.0,0.0
2015-06-28,Amritsar,0.0,0.0
2015-06-28,Barnala,0.0,0.0
2015-06-28,Bathinda,0.0,0.0
2015-06-28,Faridkot,0.0,0.0
