district,year,window_start,window_end,district_mm,district_mm_lag1,district_mm_lag2,district_first3d,district_first5d,district_max1d,district_max3d,district_p90,api_start
Rupnagar,2015,2015-06-25,2015-07-05,22.348,22.359,10.689,18.3,18.645,18.255,18.3,3.652,18.793
Sahibzada Ajit Singh Nagar,2015,2015-06-25,2015-07-05,23.656,26.234,26.546,10.401,10.547,8.421,10.401,5.767,27.274
Sangrur,2015,2015-06-25,2015-07-05,29.863,19.378,8.643,3.796,3.796,25.662,25.975,5.981,20.195
Shahid Bhagat Singh Nagar,2015,2015-06-25,2015-07-05,15.365,21.424,7.413,11.793,11.869,11.793,11.793,3.863,18.214
Tarn Taran,2015,2015-06-25,2015-07-05,18.013,27.147,2.347,1.292,1.292,15.31,15.31,2.801,27.7
Amritsar,2015,2015-07-05,2015-07-15,36.955,22.973,26.754,4.779,4.784,17.635,28.587,7.783,22.096
Barnala,2015,2015-07-05,2015-07-15,82.637,36.697,21.676,14.345,31.191,31.796,51.278,17.327,31.209
Bathinda,2015,2015-07-05,2015-07-15,66.216,18.965,10.275,29.9,35.211,29.738,35.049,16.369,16.128
Faridkot,2015,2015-07-05,2015-07-15,53.17,19.787,20.315,39.658,40.059,39.658,40.059,11.2,19.385
Fatehgarh Sahib,2015,2015-07-05,2015-07-15,166.267,28.655,22.613,26.735,30.959,51.107,111.858,39.326,25.069
Firozpur,2015,2015-07-05,2015-07-15,32.715,12.516,12.001,21.68,22.254,21.664,22.244,7.009,12.211
Gurdaspur,2015,2015-07-05,2015-07-15,93.768,31.681,22.401,25.482,28.406,25.347,51.441,25.114,26.116
Hoshiarpur,2015,2015-07-05,2015-07-15,149.352,46.316,37.139,41.476,44.843,42.78,83.535,40.114,36.257
Jalandhar,2015,2015-07-05,2015-07-15,87.142,27.549,16.041,11.372,12.051,35.751,71.61,24.296,21.295
Kapurthala,2015,2015-07-05,2015-07-15,69.659,28.734,21.539,11.134,11.556,21.273,52.607,17.106,24.246
Ludhiana,2015,2015-07-05,2015-07-15,170.179,20.318,14.723,13.177,28.429,66.992,131.548,50.266,18.38
Mansa,2015,2015-07-05,2015-07-15,56.06,16.78,18.965,15.711,20.08,18.032,35.642,15.272,16.106
Moga,2015,2015-07-05,2015-07-15,28.965,15.853,17.163,6.799,8.978,10.23,18.655,6.554,14.791
Muktsar,2015,2015-07-05,2015-07-15,48.083,14.782,11.048,29.803,31.382,29.803,31.382,10.322,14.384
Patiala,2015,2015-07-05,2015-07-15,164.834,25.877,19.977,23.199,34.702,70.766,124.754,31.829,21.438
Rupnagar,2015,2015-07-05,2015-07-15,111.764,22.348,22.359,28.45,32.097,37.352,71.132,28.676,16.552
Sahibzada Ajit Singh Nagar,2015,2015-07-05,2015-07-15,180.201,23.656,26.234,58.73,64.115,58.259,96.444,49.196,24.215
Sangrur,2015,2015-07-05,2015-07-15,124.758,29.863,19.378,9.706,20.364,48.93,104.026,35.877,25.67
Shahid Bhagat Singh Nagar,2015,2015-07-05,2015-07-15,144.71,15.365,21.424,30.243,35.36,49.801,106.777,39.968,13.381
Tarn Taran,2015,2015-07-05,2015-07-15,30.389,18.013,27.147,7.355,7.355,11.442,21.036,6.74,21.474
Amritsar,2015,2015-07-15,2015-07-25,81.679,36.955,22.973,44.158,79.065,44.158,79.065,30.415,35.266
Barnala,2015,2015-07-15,2015-07-25,5.097,82.637,36.697,0.52,1.872,2.991,4.351,1.51,67.27
Bathinda,2015,2015-07-15,2015-07-25,32.39,66.216,18.965,0.305,2.697,16.453,26.026,9.848,48.494
Faridkot,2015,2015-07-15,2015-07-25,22.228,53.17,19.787,0.017,0.02,10.825,20.472,9.762,37.306
Fatehgarh Sahib,2015,2015-07-15,2015-07-25,70.283,166.267,28.655,48.859,56.415,48.859,56.415,17.343,130.139
Firozpur,2015,2015-07-15,2015-07-25,14.495,32.715,12.516,0.68,1.748,6.515,12.754,5.382,23.603
Gurdaspur,2015,2015-07-15,2015-07-25,101.997,93.768,31.681,64.92,77.049,61.581,75.565,17.383,71.987
Hoshiarpur,2015,2015-07-15,2015-07-25,114.127,149.352,46.316,85.808,97.618,83.375,95.185,15.567,111.095
Jalandhar,2015,2015-07-15,2015-07-25,52.871,87.142,27.549,30.255,46.045,30.255,46.045,15.332,74.45
Kapurthala,2015,2015-07-15,2015-07-25,61.834,69.659,28.734,39.541,54.548,39.541,54.548,15.224,60.553
Ludhiana,2015,2015-07-15,2015-07-25,59.236,170.179,20.318,26.865,49.459,26.865,49.459,21.445,135.67
Mansa,2015,2015-07-15,2015-07-25,16.046,56.06,16.78,1.289,1.311,12.582,14.726,2.615,43.869
Moga,2015,2015-07-15,2015-07-25,9.998,28.965,15.853,1.81,3.589,5.758,7.732,2.205,26.561
Muktsar,2015,2015-07-15,2015-07-25,16.211,48.083,14.782,0.0,0.915,6.714,11.137,3.829,34.173
Patiala,2015,2015-07-15,2015-07-25,54.526,164.834,25.877,37.143,50.802,37.143,50.802,15.945,133.048
Rupnagar,2015,2015-07-15,2015-07-25,121.224,111.764,22.348,76.088,101.504,65.257,90.673,28.382,81.409
Sahibzada Ajit Singh Nagar,2015,2015-07-15,2015-07-25,103.501,180.201,23.656,65.497,70.925,59.063,65.541,27.378,125.898
Sangrur,2015,2015-07-15,2015-07-25,18.705,124.758,29.863,6.908,15.285,8.3,15.285,7.047,103.171
Shahid Bhagat Singh Nagar,2015,2015-07-15,2015-07-25,109.982,144.71,15.365,60.763,86.089,60.58,85.906,26.492,108.044
Tarn Taran,2015,2015-07-15,2015-07-25,57.969,30.389,18.013,26.679,52.879,26.679,52.879,21.258,29.321
Amritsar,2015,2015-07-25,2015-08-04,38.258,81.679,36.955,24.316,26.723,21.682,24.316,11.219,54.406
Barnala,2015,2015-07-25,2015-08-04,5.685,5.097,82.637,0.012,0.012,3.418,5.631,2.328,26.89
Bathinda,2015,2015-07-25,2015-08-04,25.114,32.39,66.216,6.488,6.488,11.77,15.725,6.055,41.835
Faridkot,2015,2015-07-25,2015-08-04,34.535,22.228,53.17,15.616,15.616,10.165,16.444,8.369,28.841
Fatehgarh Sahib,2015,2015-07-25,2015-08-04,17.468,70.283,166.267,9.954,10.209,7.992,9.954,6.114,83.32
Firozpur,2015,2015-07-25,2015-08-04,25.815,14.495,32.715,7.997,8.016,9.203,16.646,6.291,18.173
Gurdaspur,2015,2015-07-25,2015-08-04,62.399,101.997,93.768,26.9,45.673,16.981,32.164,13.643,84.634
Hoshiarpur,2015,2015-07-25,2015-08-04,64.022,114.127,149.352,23.028,47.783,24.099,43.383,17.46,98.436
Jalandhar,2015,2015-07-25,2015-08-04,22.974,52.871,87.142,14.457,14.714,8.179,14.457,6.468,54.523
Kapurthala,2015,2015-07-25,2015-08-04,34.576,61.834,69.659,24.783,25.597,18.862,24.783,7.473,54.045
Ludhiana,2015,2015-07-25,2015-08-04,10.48,59.236,170.179,5.511,5.579,4.871,5.511,3.105,80.377
Mansa,2015,2015-07-25,2015-08-04,3.41,16.046,56.06,0.265,0.265,1.873,2.756,0.755,26.977
Moga,2015,2015-07-25,2015-08-04,12.683,9.998,28.965,2.526,2.526,8.354,9.425,2.583,15.917
Muktsar,2015,2015-07-25,2015-08-04,44.786,16.211,48.083,15.684,15.684,14.731,24.529,10.139,24.239
Patiala,2015,2015-07-25,2015-08-04,9.629,54.526,164.834,2.918,4.015,2.307,5.613,1.903,75.138
Rupnagar,2015,2015-07-25,2015-08-04,56.651,121.224,111.764,37.862,39.701,35.555,38.773,17.663,93.25
Sahibzada Ajit Singh Nagar,2015,2015-07-25,2015-08-04,54.869,103.501,180.201,33.374,34.943,32.472,33.685,14.436,103.043
Sangrur,2015,2015-07-25,2015-08-04,5.246,18.705,124.758,0.043,0.043,4.331,5.203,0.893,46.763
Shahid Bhagat Singh Nagar,2015,2015-07-25,2015-08-04,28.808,109.982,144.71,18.026,19.279,16.851,18.424,8.341,98.154
Tarn Taran,2015,2015-07-25,2015-08-04,42.153,57.969,30.389,29.622,29.85,28.981,29.622,12.495,40.701
Amritsar,2015,2015-08-04,2015-08-14,42.571,38.258,81.679,3.05,18.263,14.384,29.597,13.694,41.118
Barnala,2015,2015-08-04,2015-08-14,21.906,5.685,5.097,9.278,12.605,9.154,9.278,6.691,14.699
Bathinda,2015,2015-08-04,2015-08-14,29.937,25.114,32.39,22.738,23.087,13.83,22.738,7.246,33.791
Faridkot,2015,2015-08-04,2015-08-14,18.24,34.535,22.228,7.653,7.692,7.811,9.296,6.289,33.418
Fatehgarh Sahib,2015,2015-08-04,2015-08-14,88.541,17.468,70.283,7.716,28.114,36.711,43.974,18.479,39.837
Firozpur,2015,2015-08-04,2015-08-14,6.688,25.815,14.495,4.289,4.406,2.476,4.289,1.373,25.784
Gurdaspur,2015,2015-08-04,2015-08-14,166.858,62.399,101.997,33.915,67.181,74.142,107.408,26.258,65.18
Hoshiarpur,2015,2015-08-04,2015-08-14,140.682,64.022,114.127,2.148,60.801,50.505,109.158,32.096,71.033
Jalandhar,2015,2015-08-04,2015-08-14,33.379,22.974,52.871,0.1,18.193,11.442,29.518,11.427,33.02
Kapurthala,2015,2015-08-04,2015-08-14,31.464,34.576,61.834,0.047,15.968,11.861,26.621,10.816,38.386
Ludhiana,2015,2015-08-04,2015-08-14,57.435,10.48,59.236,0.638,22.44,11.759,33.666,11.194,34.74
Mansa,2015,2015-08-04,2015-08-14,10.437,3.41,16.046,6.009,6.777,5.648,6.009,3.859,12.437
Moga,2015,2015-08-04,2015-08-14,8.28,12.683,9.998,1.975,3.775,2.495,4.295,1.961,15.598
Muktsar,2015,2015-08-04,2015-08-14,22.817,44.786,16.211,15.066,15.197,10.914,15.066,5.255,40.453
Patiala,2015,2015-08-04,2015-08-14,72.061,9.629,54.526,5.737,33.424,18.801,38.986,15.817,33.16
Rupnagar,2015,2015-08-04,2015-08-14,93.758,56.651,121.224,0.829,51.236,29.61,67.677,21.678,63.77
Sahibzada Ajit Singh Nagar,2015,2015-08-04,2015-08-14,83.022,54.869,103.501,1.497,37.363,27.582,41.935,25.551,68.233
Sangrur,2015,2015-08-04,2015-08-14,30.985,5.246,18.705,5.008,17.146,10.756,13.675,6.8,21.408
Shahid Bhagat Singh Nagar,2015,2015-08-04,2015-08-14,75.967,28.808,109.982,0.533,33.697,22.215,49.784,19.416,50.652
Tarn Taran,2015,2015-08-04,2015-08-14,10.536,42.153,57.969,1.244,5.586,4.28,5.497,2.995,38.266
Amritsar,2015,2015-08-14,2015-08-24,37.92,42.571,38.258,10.843,11.984,11.268,18.405,8.539,43.107
Barnala,2015,2015-08-14,2015-08-24,40.273,21.906,5.685,11.948,14.344,25.03,25.053,8.67,19.073
Bathinda,2015,2015-08-14,2015-08-24,8.447,29.937,25.114,3.67,3.783,4.46,4.477,2.155,28.249
Faridkot,2015,2015-08-14,2015-08-24,25.359,18.24,34.535,13.993,14.003,13.707,13.993,11.584,24.253
Fatehgarh Sahib,2015,2015-08-14,2015-08-24,67.326,88.541,17.468,3.482,5.694,42.447,59.471,18.111,78.002
Firozpur,2015,2015-08-14,2015-08-24,7.346,6.688,25.815,4.381,4.406,3.928,4.381,2.886,12.679
Gurdaspur,2015,2015-08-14,2015-08-24,39.792,166.858,62.399,18.193,18.975,12.484,18.193,7.718,126.924
