scorer,ap,lift,row_r5,event_r3,event_r5,n_events,year,ap_climo_nbr,ap_persistence
model,0.0763247123921098,2.5638930041423063,0.4338235294117647,0.42857142857142855,0.5274725274725275,91.0,,,
climo_plus_neighbour,0.03886726885928814,1.3056258660563078,0.4742647058823529,0.4835164835164835,0.6043956043956044,91.0,,,
persistence,0.03601835442149763,1.2099253836368524,0.11029411764705882,0.17582417582417584,0.23076923076923078,91.0,,,
per_year,0.02752827631031555,,,,,,2019.0,0.014864734099452867,0.018292682926829267
per_year,0.006202007906207541,,,,,,2022.0,0.002274450341167551,0.002274450341167551
per_year,0.15540910375549286,,,,,,2023.0,0.1483524054780158,0.11004676059809182
per_year,0.2990049765137759,,,,,,2025.0,0.14063655054876045,0.09569188731798206
