x,y,district,VV_flood,VH_flood,dVV,dVH,slope,label
516317.3686490393,3510207.4483208344,Amritsar,-8.100643157958984,-12.619791984558105,-0.45417457818984985,3.419593095779419,0.02199343405663967,0
476267.3686490393,3505077.4483208344,Amritsar,-6.893265247344971,-13.578561782836914,1.3106226921081543,0.7152062654495239,0.2937606871128082,0
470237.3686490393,3507237.4483208344,Amritsar,-5.787520885467529,-10.943333625793457,1.122844934463501,1.2151483297348022,0.1670597940683365,0
475367.3686490393,3525597.4483208344,Amritsar,-11.79976749420166,-17.585092544555664,-5.250961780548096,-2.5565731525421143,0.16493962705135345,0
489857.3686490393,3525597.4483208344,Amritsar,-6.967520236968994,-13.70968246459961,-0.4289345443248749,1.6856881380081177,0.15121105313301086,0
458357.3686490393,3510747.4483208344,Amritsar,-7.848865032196045,-14.104569435119629,0.2262238711118698,-0.5376700162887573,1.9346264600753784,0
487517.3686490393,3504807.4483208344,Amritsar,-6.698721885681152,-12.672966957092285,1.3231518268585205,1.0596730709075928,0.28446313738822937,0
470417.3686490393,3499857.4483208344,Amritsar,-7.227653980255127,-13.584214210510254,-0.7265779972076416,2.541750431060791,0.11414982378482819,0
466457.3686490393,3516327.4483208344,Amritsar,-7.217137336730957,-13.147782325744629,-0.3221530020236969,1.7536572217941284,0.27359163761138916,0
481577.3686490393,3501657.4483208344,Amritsar,-3.290395736694336,-11.116032600402832,3.414907693862915,2.6231138706207275,0.229416623711586,0
502997.3686490393,3503007.4483208344,Amritsar,-4.999680995941162,-12.531678199768066,1.8970882892608643,1.1918222904205322,0.6985610127449036,0
488147.3686490393,3490677.4483208344,Amritsar,-8.454157829284668,-14.447583198547363,-1.0187922716140747,0.8065875768661499,0.1244700700044632,0
519557.3686490393,3503367.4483208344,Amritsar,-8.581830024719238,-12.84700870513916,0.5723744034767151,2.823964834213257,0.13105829060077667,0
523157.3686490393,3495537.4483208344,Amritsar,-11.022355079650879,-15.997600555419922,-2.2881436347961426,0.7273700833320618,0.03617236018180847,0
528017.3686490393,3495987.4483208344,Amritsar,-9.629654884338379,-14.306351661682129,0.2597668170928955,2.492069721221924,0.032481301575899124,0
459797.3686490393,3509487.4483208344,Amritsar,-8.557068824768066,-13.902344703674316,-1.9106523990631104,4.433775901794434,0.13997995853424072,0
488957.3686490393,3495717.4483208344,Amritsar,-3.518862724304199,-10.605960845947266,2.977832555770874,2.0653254985809326,0.9133285284042358,0
467357.3686490393,3498327.4483208344,Amritsar,-7.902917385101318,-13.670975685119629,0.20146052539348602,3.271388053894043,0.10387865453958511,0
516947.3686490393,3495627.4483208344,Amritsar,-7.379335403442383,-13.789806365966797,0.6600071787834167,0.9844062924385071,0.026463158428668976,0
476897.3686490393,3516687.4483208344,Amritsar,-7.6724019050598145,-13.041074752807617,-1.0235494375228882,3.452423572540283,0.1382887214422226,0
472667.3686490393,3493017.4483208344,Amritsar,-8.600861549377441,-14.553752899169922,-0.3213794529438019,3.268503427505493,0.19901585578918457,0
465107.3686490393,3494097.4483208344,Amritsar,-9.914714813232422,-15.1191987991333,-0.5434610843658447,0.12617282569408417,0.34618255496025085,0
465557.3686490393,3526767.4483208344,Amritsar,-6.920354843139648,-13.300349235534668,-0.3980613648891449,0.45200949907302856,0.13072030246257782,0
467987.3686490393,3497607.4483208344,Amritsar,-7.48568868637085,-13.405177116394043,-1.8831532001495361,1.0164974927902222,0.5113645195960999,0
475007.3686490393,3531357.4483208344,Amritsar,-8.123043060302734,-13.912821769714355,-0.8265045881271362,1.010191798210144,0.1698530912399292,0
491207.3686490393,3520197.4483208344,Amritsar,-7.111178398132324,-15.219751358032227,5.354262351989746,3.899247646331787,0.028999729081988335,0
478877.3686490393,3520107.4483208344,Amritsar,-7.538573265075684,-14.51717758178711,-0.02761848084628582,1.4124292135238647,0.07950295507907867,0
519827.3686490393,3487707.4483208344,Amritsar,-7.90068244934082,-13.314473152160645,0.810878574848175,3.1633946895599365,0.04505631700158119,0
461957.3686490393,3503367.4483208344,Amritsar,-10.999750137329102,-15.078458786010742,-3.39711856842041,0.7397468090057373,0.26373034715652466,0
471047.3686490393,3525417.4483208344,Amritsar,-9.432721138000488,-14.49206256866455,-2.0858640670776367,0.9057421684265137,0.1897631734609604,0
455657.3686490393,3511017.4483208344,Amritsar,-5.5455322265625,-12.652253150939941,1.1796338558197021,2.7608482837677,0.11073806881904602,0
462767.3686490393,3508677.4483208344,Amritsar,-5.895285129547119,-14.028705596923828,1.3356475830078125,2.460582733154297,0.08577753603458405,0
495437.3686490393,3518757.4483208344,Amritsar,-6.324321746826172,-13.471807479858398,1.9823805093765259,2.033905267715454,0.10812129080295563,0
492377.3686490393,3495537.4483208344,Amritsar,-8.573918342590332,-14.49429988861084,-1.20040762424469,0.7650192975997925,0.04554162919521332,0
493547.3686490393,3506787.4483208344,Amritsar,-9.102510452270508,-13.684483528137207,-0.633707582950592,0.7768306136131287,0.18449683487415314,0
493187.3686490393,3507777.4483208344,Amritsar,-7.092244625091553,-11.744437217712402,-0.006479478906840086,1.0665836334228516,0.08537250012159348,0
457727.3686490393,3499587.4483208344,Amritsar,-10.158869743347168,-15.85478687286377,-2.3621325492858887,-0.7202202677726746,0.02740182913839817,0
490217.3686490393,3491217.4483208344,Amritsar,-0.5339074730873108,-8.480978965759277,1.16343355178833,2.206171989440918,0.7047214508056641,0
477707.3686490393,3491937.4483208344,Amritsar,-6.082218647003174,-13.06335163116455,1.892534852027893,3.174546957015991,0.40917113423347473,0
476087.3686490393,3513987.4483208344,Amritsar,-6.457167625427246,-11.340991973876953,-2.2942912578582764,2.795606851577759,0.04964260756969452,0
476357.3686490393,3511917.4483208344,Amritsar,-6.360733985900879,-12.539794921875,-0.17980904877185822,3.865100145339966,0.0983298197388649,0
500027.3686490393,3520107.4483208344,Amritsar,-7.066195964813232,-13.911482810974121,0.1559915542602539,3.630471706390381,0.07276555150747299,0
491027.3686490393,3505077.4483208344,Amritsar,-4.558823108673096,-12.75316047668457,0.7555114030838013,0.8673854470252991,0.5218814611434937,0
472127.3686490393,3493107.4483208344,Amritsar,-7.661039352416992,-13.607605934143066,-1.1282426118850708,1.406003475189209,0.06370995193719864,0
479327.3686490393,3522717.4483208344,Amritsar,-7.051095485687256,-16.79361915588379,0.27925610542297363,-1.2065939903259277,0.26592662930488586,0
478517.3686490393,3527577.4483208344,Amritsar,-6.713254928588867,-12.93807315826416,2.910273551940918,2.730809211730957,0.11710035800933838,0
462767.3686490393,3498327.4483208344,Amritsar,-8.463436126708984,-13.877327919006348,-0.008937209844589233,1.323288917541504,0.0521186888217926,0
501107.3686490393,3495177.4483208344,Amritsar,-1.9788187742233276,-11.44880485534668,1.6652944087982178,1.0182420015335083,0.07656949758529663,0
471497.3686490393,3506607.4483208344,Amritsar,-7.158260822296143,-13.740806579589844,-1.3998892307281494,3.9962880611419678,0.025357311591506004,0
482657.3686490393,3528567.4483208344,Amritsar,-8.761516571044922,-15.830825805664062,-0.9469344615936279,0.7575619220733643,0.2687951326370239,0
501827.3686490393,3516147.4483208344,Amritsar,-7.33076810836792,-12.022869110107422,0.3549511134624481,3.2599034309387207,0.14142492413520813,0
492017.3686490393,3507687.4483208344,Amritsar,-5.3702473640441895,-13.529828071594238,1.7837363481521606,0.79451584815979,0.1642390340566635,0
486077.3686490393,3512997.4483208344,Amritsar,-7.751362323760986,-13.951555252075195,0.23565571010112762,1.693877935409546,0.05905880406498909,0
525587.3686490393,3498507.4483208344,Amritsar,-5.884027481079102,-13.58078384399414,1.8992563486099243,1.2348408699035645,0.3151085674762726,0
490667.3686490393,3514257.4483208344,Amritsar,-8.142733573913574,-14.698182106018066,0.03333020210266113,1.364485740661621,0.1705230176448822,0
525947.3686490393,3499587.4483208344,Amritsar,-2.720872163772583,-12.20678424835205,-3.396815776824951,-1.829624891281128,2.8383214473724365,0
497417.3686490393,3494907.4483208344,Amritsar,-5.263510227203369,-12.068405151367188,2.137322425842285,2.09397554397583,0.5372404456138611,0
495617.3686490393,3521817.4483208344,Amritsar,-7.291532039642334,-13.550232887268066,-0.969291090965271,1.9125162363052368,0.06445569545030594,0
463127.3686490393,3501477.4483208344,Amritsar,-7.867705821990967,-12.717283248901367,-0.7310348153114319,2.8513314723968506,0.3514776825904846,0
524327.3686490393,3506427.4483208344,Amritsar,-8.292281150817871,-14.227741241455078,1.4345979690551758,1.7349120378494263,0.048430755734443665,0
508577.3686490393,3496977.4483208344,Amritsar,-7.744260787963867,-12.457743644714355,-0.27716895937919617,1.5863187313079834,0.4762284457683563,0
523067.3686490393,3497247.4483208344,Amritsar,-12.416864395141602,-16.89760971069336,-3.7510037422180176,-1.19313645362854,0.05768618360161781,0
512897.3686490393,3506697.4483208344,Amritsar,-7.243948936462402,-14.378608703613281,-0.6184006929397583,3.908876419067383,0.15243354439735413,0
464567.3686490393,3493917.4483208344,Amritsar,-9.269674301147461,-14.260136604309082,-2.4910550117492676,2.0306248664855957,0.0865209624171257,0
472307.3686490393,3513627.4483208344,Amritsar,-9.521080017089844,-14.64919376373291,-3.077890396118164,0.12578418850898743,0.3661963641643524,0
469427.3686490393,3524247.4483208344,Amritsar,-9.768787384033203,-17.241514205932617,-2.5456745624542236,-2.600137233734131,0.12212269008159637,0
471767.3686490393,3530187.4483208344,Amritsar,-6.4934515953063965,-12.534843444824219,1.9505823850631714,2.25380539894104,0.49338340759277344,0
457367.3686490393,3510117.4483208344,Amritsar,-9.032590866088867,-14.530643463134766,-1.3983170986175537,0.884365975856781,1.258248209953308,0
497147.3686490393,3521817.4483208344,Amritsar,-6.2817511558532715,-12.909089088439941,-0.03684820979833603,0.8675025701522827,0.3111502230167389,0
510377.3686490393,3500577.4483208344,Amritsar,-11.071044921875,-15.94536304473877,-0.14506103098392487,0.5188992023468018,0.033408574759960175,0
492107.3686490393,3500667.4483208344,Amritsar,-7.609553337097168,-13.207763671875,1.7942712306976318,2.8786094188690186,0.4631553888320923,0
512807.3686490393,3512547.4483208344,Amritsar,-7.239356994628906,-13.19187068939209,-0.357170045375824,1.898669719696045,0.36312147974967957,0
521807.3686490393,3485457.4483208344,Amritsar,-7.212253570556641,-12.705916404724121,2.624537706375122,2.729945421218872,0.06809777021408081,0
486797.3686490393,3506157.4483208344,Amritsar,-4.807277679443359,-11.230894088745117,2.888794183731079,1.9632247686386108,0.29369470477104187,0
472667.3686490393,3505347.4483208344,Amritsar,-7.305178165435791,-14.160778999328613,-0.5142742991447449,2.21061372756958,0.4803253412246704,0
461417.3686490393,3498777.4483208344,Amritsar,-9.15035629272461,-15.04137134552002,-1.692046880722046,0.28858891129493713,0.040142107754945755,0
482117.3686490393,3508677.4483208344,Amritsar,-2.428224563598633,-9.613790512084961,2.3649561405181885,2.361189365386963,0.6528014540672302,0
501287.3686490393,3491757.4483208344,Amritsar,-8.617377281188965,-13.530678749084473,-0.5063869953155518,2.164337635040283,0.3385907709598541,0
464477.3686490393,3518037.4483208344,Amritsar,-11.44951057434082,-19.653797149658203,-5.70024299621582,-3.9418537616729736,0.15655075013637543,0
466547.3686490393,3500217.4483208344,Amritsar,-8.294479370117188,-13.517581939697266,-0.6301681399345398,5.392002582550049,0.15888887643814087,0
474917.3686490393,3510297.4483208344,Amritsar,-8.074134826660156,-14.432740211486816,-1.0547834634780884,1.9484814405441284,0.016673268750309944,0
475277.3686490393,3511737.4483208344,Amritsar,-7.172454833984375,-14.128917694091797,0.7197068929672241,5.6680169105529785,0.05967288836836815,0
469337.3686490393,3507597.4483208344,Amritsar,-6.437647342681885,-14.020072937011719,-0.5421586632728577,3.1864521503448486,0.13831786811351776,0
470957.3686490393,3496887.4483208344,Amritsar,-7.332272052764893,-12.93275260925293,0.8794069290161133,2.594046115875244,0.18907015025615692,0
480857.3686490393,3503637.4483208344,Amritsar,-6.816427707672119,-12.712301254272461,1.2270581722259521,3.411588668823242,0.08632946014404297,0
466187.3686490393,3511557.4483208344,Amritsar,-8.72537899017334,-13.34925365447998,-0.4848839044570923,2.562869071960449,0.14908015727996826,0
467807.3686490393,3517317.4483208344,Amritsar,-8.108667373657227,-13.031960487365723,-1.5388277769088745,1.7926340103149414,1.376192569732666,0
