date,district,acq_fraction,bbox_fraction,era
2015-06-20,Jalandhar,1.0,1.0,era_unreliable
2015-06-20,Kapurthala,1.0,1.0,era_unreliable
2015-06-20,Ludhiana,1.0,1.0,era_unreliable
2015-06-20,Mansa,1.0,1.0,era_unreliable
2015-06-20,Moga,1.0,1.0,era_unreliable
2015-06-20,Muktsar,1.0,1.0,era_unreliable
2015-06-20,Nawanshahr,1.0,1.0,era_unreliable
2015-06-20,Patiala,1.0,1.0,era_unreliable
2015-06-20,Rupnagar,1.0,1.0,era_unreliable
2015-06-20,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-20,Sangrur,1.0,1.0,era_unreliable
2015-06-20,Tarn Taran,1.0,1.0,era_unreliable
2015-06-21,Amritsar,1.0,1.0,era_unreliable
2015-06-21,Barnala,1.0,1.0,era_unreliable
2015-06-21,Bathinda,1.0,1.0,era_unreliable
2015-06-21,Faridkot,1.0,1.0,era_unreliable
2015-06-21,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-21,Firozpur,1.0,1.0,era_unreliable
2015-06-21,Gurdaspur,1.0,1.0,era_unreliable
2015-06-21,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-21,Jalandhar,1.0,1.0,era_unreliable
2015-06-21,Kapurthala,1.0,1.0,era_unreliable
2015-06-21,Ludhiana,1.0,1.0,era_unreliable
2015-06-21,Mansa,1.0,1.0,era_unreliable
2015-06-21,Moga,1.0,1.0,era_unreliable
2015-06-21,Muktsar,1.0,1.0,era_unreliable
2015-06-21,Nawanshahr,1.0,1.0,era_unreliable
2015-06-21,Patiala,1.0,1.0,era_unreliable
2015-06-21,Rupnagar,1.0,1.0,era_unreliable
2015-06-21,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-21,Sangrur,1.0,1.0,era_unreliable
2015-06-21,Tarn Taran,1.0,1.0,era_unreliable
2015-06-22,Amritsar,1.0,1.0,era_unreliable
2015-06-22,Barnala,1.0,1.0,era_unreliable
2015-06-22,Bathinda,1.0,1.0,era_unreliable
2015-06-22,Faridkot,1.0,1.0,era_unreliable
2015-06-22,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-22,Firozpur,1.0,1.0,era_unreliable
2015-06-22,Gurdaspur,1.0,1.0,era_unreliable
2015-06-22,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-22,Jalandhar,1.0,1.0,era_unreliable
2015-06-22,Kapurthala,1.0,1.0,era_unreliable
2015-06-22,Ludhiana,1.0,1.0,era_unreliable
2015-06-22,Mansa,1.0,1.0,era_unreliable
2015-06-22,Moga,1.0,1.0,era_unreliable
2015-06-22,Muktsar,1.0,1.0,era_unreliable
2015-06-22,Nawanshahr,1.0,1.0,era_unreliable
2015-06-22,Patiala,1.0,1.0,era_unreliable
2015-06-22,Rupnagar,1.0,1.0,era_unreliable
2015-06-22,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-22,Sangrur,1.0,1.0,era_unreliable
2015-06-22,Tarn Taran,1.0,1.0,era_unreliable
2015-06-23,Amritsar,1.0,1.0,era_unreliable
2015-06-23,Barnala,1.0,1.0,era_unreliable
2015-06-23,Bathinda,1.0,1.0,era_unreliable
2015-06-23,Faridkot,1.0,1.0,era_unreliable
2015-06-23,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-23,Firozpur,1.0,1.0,era_unreliable
2015-06-23,Gurdaspur,1.0,1.0,era_unreliable
2015-06-23,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-23,Jalandhar,1.0,1.0,era_unreliable
2015-06-23,Kapurthala,1.0,1.0,era_unreliable
2015-06-23,Ludhiana,1.0,1.0,era_unreliable
2015-06-23,Mansa,1.0,1.0,era_unreliable
2015-06-23,Moga,1.0,1.0,era_unreliable
2015-06-23,Muktsar,1.0,1.0,era_unreliable
2015-06-23,Nawanshahr,1.0,1.0,era_unreliable
2015-06-23,Patiala,1.0,1.0,era_unreliable
2015-06-23,Rupnagar,1.0,1.0,era_unreliable
2015-06-23,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-23,Sangrur,1.0,1.0,era_unreliable
2015-06-23,Tarn Taran,1.0,1.0,era_unreliable
2015-06-24,Amritsar,1.0,1.0,era_unreliable
2015-06-24,Barnala,1.0,1.0,era_unreliable
2015-06-24,Bathinda,1.0,1.0,era_unreliable
2015-06-24,Faridkot,1.0,1.0,era_unreliable
2015-06-24,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-24,Firozpur,1.0,1.0,era_unreliable
2015-06-24,Gurdaspur,1.0,1.0,era_unreliable
2015-06-24,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-24,Jalandhar,1.0,1.0,era_unreliable
2015-06-24,Kapurthala,1.0,1.0,era_unreliable
2015-06-24,Ludhiana,1.0,1.0,era_unreliable
2015-06-24,Mansa,1.0,1.0,era_unreliable
2015-06-24,Moga,1.0,1.0,era_unreliable
2015-06-24,Muktsar,1.0,1.0,era_unreliable
2015-06-24,Nawanshahr,1.0,1.0,era_unreliable
2015-06-24,Patiala,1.0,1.0,era_unreliable
2015-06-24,Rupnagar,1.0,1.0,era_unreliable
2015-06-24,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-24,Sangrur,1.0,1.0,era_unreliable
2015-06-24,Tarn Taran,1.0,1.0,era_unreliable
2015-06-25,Amritsar,1.0,1.0,era_unreliable
2015-06-25,Barnala,1.0,1.0,era_unreliable
2015-06-25,Bathinda,1.0,1.0,era_unreliable
2015-06-25,Faridkot,1.0,1.0,era_unreliable
2015-06-25,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-25,Firozpur,1.0,1.0,era_unreliable
2015-06-25,Gurdaspur,1.0,1.0,era_unreliable
2015-06-25,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-25,Jalandhar,1.0,1.0,era_unreliable
2015-06-25,Kapurthala,1.0,1.0,era_unreliable
2015-06-25,Ludhiana,1.0,1.0,era_unreliable
2015-06-25,Mansa,1.0,1.0,era_unreliable
2015-06-25,Moga,1.0,1.0,era_unreliable
2015-06-25,Muktsar,1.0,1.0,era_unreliable
2015-06-25,Nawanshahr,1.0,1.0,era_unreliable
2015-06-25,Patiala,1.0,1.0,era_unreliable
2015-06-25,Rupnagar,1.0,1.0,era_unreliable
2015-06-25,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-25,Sangrur,1.0,1.0,era_unreliable
2015-06-25,Tarn Taran,1.0,1.0,era_unreliable
2015-06-26,Amritsar,1.0,1.0,era_unreliable
2015-06-26,Barnala,1.0,1.0,era_unreliable
2015-06-26,Bathinda,1.0,1.0,era_unreliable
2015-06-26,Faridkot,1.0,1.0,era_unreliable
2015-06-26,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-26,Firozpur,1.0,1.0,era_unreliable
2015-06-26,Gurdaspur,1.0,1.0,era_unreliable
2015-06-26,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-26,Jalandhar,1.0,1.0,era_unreliable
2015-06-26,Kapurthala,1.0,1.0,era_unreliable
2015-06-26,Ludhiana,1.0,1.0,era_unreliable
2015-06-26,Mansa,1.0,1.0,era_unreliable
2015-06-26,Moga,1.0,1.0,era_unreliable
2015-06-26,Muktsar,1.0,1.0,era_unreliable
2015-06-26,Nawanshahr,1.0,1.0,era_unreliable
2015-06-26,Patiala,1.0,1.0,era_unreliable
2015-06-26,Rupnagar,1.0,1.0,era_unreliable
2015-06-26,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-26,Sangrur,1.0,1.0,era_unreliable
2015-06-26,Tarn Taran,1.0,1.0,era_unreliable
2015-06-27,Amritsar,1.0,1.0,era_unreliable
2015-06-27,Barnala,1.0,1.0,era_unreliable
2015-06-27,Bathinda,1.0,1.0,era_unreliable
