district,metric,value,unit,date,attributed_to,source_url
Rupnagar,patwaris_deployed,92,patwaris,2025-09-13,"Special Girdawari deployment, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Sangrur,patwaris_deployed,107,patwaris,2025-09-13,"Special Girdawari deployment, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Sahibzada Ajit Singh Nagar,patwaris_deployed,15,patwaris,2025-09-13,"Special Girdawari deployment, Revenue Minister Hardeep Singh Mundian (as SAS Nagar)",https://www.babushahi.com/full-news.php?id=210671
Muktsar,patwaris_deployed,25,patwaris,2025-09-13,"Special Girdawari deployment, Revenue Minister Hardeep Singh Mundian (as Sri Muktsar Sahib)",https://www.babushahi.com/full-news.php?id=210671
Tarn Taran,patwaris_deployed,71,patwaris,2025-09-13,"Special Girdawari deployment, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
STATEWIDE,crop_damage_ha,198525,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
STATEWIDE,deaths,55,persons,2025-09-12,State toll as reported,https://www.ndtv.com/india-news/punjab-floods-death-count-rises-to-55-over-100-relief-camps-operational-9261429
STATEWIDE,villages_affected,2050,villages,2025-09-08,Sphere India SitRep-03,https://www.sphereindia.org.in/sites/default/files/2025-09/SitRep_03-_Punjab_Flood_08-09-2025.pdf
STATEWIDE,people_affected,350000,persons,2025-09-08,Sphere India SitRep-03; corroborated newsonair.gov.in,https://www.newsonair.gov.in/punjab-flood-over-3-5-lakh-people-affected-crops-damaged-in-1-48-lakh-hectares
STATEWIDE,people_displaced,387898,persons,2025-09-08,Sphere India SitRep-03,https://www.sphereindia.org.in/sites/default/files/2025-09/SitRep_03-_Punjab_Flood_08-09-2025.pdf
STATEWIDE,state_relief_released_inr,710000000,INR,2025-09-04,"Punjab govt (Rs 35.50 cr all districts + Rs 35.50 cr to 12 worst-hit)",https://www.punjabnewsexpress.com/punjab/news/punjab-govt-releases-rs71-crore-for-flood-reliefand-rehabiliation-as-immediate-measure-296757
STATEWIDE,central_assistance_inr,16000000000,INR,2025-09-09,"PM announcement, PIB PRID 2164996",https://ddnews.gov.in/en/pm-modi-announces-financial-assistance-of-rs-1600-crore-for-flood-hit-punjab/
STATEWIDE,estimated_total_loss_inr,140000000000,INR,2025-09-08,"Punjab interim loss report (Rs 14,000 crore), via Sphere India SitRep-03",https://www.sphereindia.org.in/sites/default/files/2025-09/SitRep_03-_Punjab_Flood_08-09-2025.pdf
STATEWIDE,compensation_rate_full_loss,20000,INR_per_acre,2025-09-25,"CM Bhagwant Mann (Rs 6800 Centre + Rs 13200 state top-up for 75-100% loss)",https://theprint.in/india/punjab-government-announces-rs-20000-compensation-per-acre-of-farm-land-affected-by-floods/2738749/
