district,window_start,p_event,flooded_fraction,flood_event
Sahibzada Ajit Singh Nagar,2025-08-14,0.0003,0.0001,0
Sahibzada Ajit Singh Nagar,2025-08-24,0.0018,0.000166,0
Sahibzada Ajit Singh Nagar,2025-09-03,0.0009,0.005354,0
Sahibzada Ajit Singh Nagar,2025-09-13,0.0057,6.6e-05,0
Sahibzada Ajit Singh Nagar,2025-09-23,0.0003,0.000126,0
Sangrur,2025-07-25,0.0004,0.001725,0
Sangrur,2025-08-04,0.0019,0.000818,0
Sangrur,2025-08-14,0.0005,0.000426,0
Sangrur,2025-08-24,0.0027,0.004386,0
Sangrur,2025-09-03,0.002,0.006536,0
Sangrur,2025-09-13,0.0155,0.000317,0
Sangrur,2025-09-23,0.0003,2.5e-05,0
Tarn Taran,2025-07-25,0.0064,0.008592,0
Tarn Taran,2025-08-04,0.0448,0.002356,0
Tarn Taran,2025-08-14,0.0061,0.021591,1
Tarn Taran,2025-08-24,0.2221,0.024727,1
Tarn Taran,2025-09-03,0.434,0.025207,1
Tarn Taran,2025-09-13,0.7667,0.015827,0
Tarn Taran,2025-09-23,0.006,0.006166,0
